,CustomerID,LoanPayoffPeriodInMonths,YrsatEmp,RequestedAmount,InterestRate,YearsInCurrentResidence,Age,NumberOfDependantsIncludingSelf,CurrentOpenLoanApplications,LoanReason_busin,LoanReason_goods,LoanReason_other,LoanReason_repairs,LoanReason_school,Co-App_guarant,Co-App_none,RentOwn_owned,RentOwn_rent,Emp_self,Emp_skilled,Emp_unskill,Checking_high,Checking_none,Checking_some,Savings_medium,Savings_none,Savings_some,Savings_v.high,Debts_paid,Results
83,127,30,0,2991,2,4,25,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
84,128,6,4,1047,2,4,50,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,1
85,129,39,4,8588,4,2,45,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1
86,130,9,1,2301,2,4,22,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
87,131,9,4,1138,4,4,25,1,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
88,132,18,4,1149,4,3,46,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
89,133,24,1,6403,1,2,33,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
90,134,18,4,2622,4,4,34,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1
91,135,24,7,1546,4,4,24,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
92,137,48,7,2751,4,3,38,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
93,139,15,1,392,4,4,23,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1
94,140,18,1,3049,1,1,45,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,1
95,145,12,7,674,4,1,20,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0
96,147,12,4,900,4,2,23,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
97,149,6,4,1343,1,4,46,2,2,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
98,150,18,1,1126,4,2,21,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
99,152,6,4,1204,4,1,35,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1
100,154,10,4,1546,3,2,31,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
101,155,15,1,2327,2,3,25,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0
102,157,11,4,7228,1,4,39,1,2,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1
103,158,20,1,3485,2,4,44,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
104,159,8,4,1414,4,2,33,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,1,1
105,160,18,4,2100,4,2,37,1,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0
106,161,10,4,1240,1,4,48,2,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0
107,163,15,4,806,4,4,22,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
108,164,14,4,1410,1,2,35,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1
109,165,30,7,5771,4,2,25,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
110,166,21,7,2767,4,2,61,1,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,1,0
111,167,15,4,2631,2,4,28,1,2,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,0
112,168,18,4,1169,4,3,29,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
113,170,36,4,5800,3,4,34,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
114,173,15,4,1213,4,3,47,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
115,174,12,4,763,4,1,26,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
116,175,15,4,1471,4,4,35,1,2,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
117,176,12,1,2445,2,4,26,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
118,178,48,7,10297,4,4,39,2,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
119,181,24,0,6615,2,4,75,1,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
120,183,48,4,3051,3,4,54,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
121,184,18,1,3780,3,2,35,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1
122,185,48,1,9960,1,2,26,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0
123,189,42,1,4796,4,4,56,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1
124,190,24,1,2679,4,1,29,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1
125,191,9,1,1244,4,4,41,1,2,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1
126,193,12,4,1282,2,4,20,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
127,194,6,1,931,1,1,32,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0
128,195,13,1,1797,3,1,28,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
129,196,12,1,3399,2,3,37,1,1,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,1,1
130,199,24,7,2910,2,1,34,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
131,200,24,4,4591,2,3,54,1,3,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,1,1,0
132,201,18,0,2473,4,1,25,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
133,204,24,4,2978,4,4,32,2,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
134,205,24,4,1393,2,2,31,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1
135,206,24,7,1344,4,2,37,2,2,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0
136,207,36,7,2712,2,2,41,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
137,208,48,4,5096,2,3,30,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
138,210,42,7,5954,2,1,41,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1
139,211,9,4,790,4,3,66,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1
140,212,12,4,618,4,4,56,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
141,215,18,4,1028,4,3,36,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
142,216,12,1,3124,1,3,49,2,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1
143,217,6,1,368,4,4,38,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
144,218,15,0,2511,1,4,23,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1
145,219,12,4,708,2,3,38,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,1,1
146,222,12,7,759,4,2,26,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
147,225,39,7,14179,4,4,30,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1
148,226,60,7,15653,2,4,21,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
149,227,24,7,4817,2,3,31,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
150,229,6,7,2108,2,2,29,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1
151,230,12,4,701,4,2,40,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,1
152,231,24,4,3161,4,2,31,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
153,232,6,4,1237,1,1,27,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1
154,233,24,7,1285,4,4,32,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0
155,234,27,4,2520,4,2,23,1,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0
156,235,12,4,640,4,2,49,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
157,236,30,7,6742,2,3,36,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
158,238,6,7,609,4,3,37,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
159,240,12,1,3565,2,1,37,2,2,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,0,1
160,242,18,4,1113,4,4,26,2,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
161,243,12,7,1424,4,3,26,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
162,245,12,7,385,4,3,58,1,4,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1
163,247,36,7,1953,4,4,61,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
164,249,21,7,2476,4,4,46,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1
165,251,15,7,5324,1,4,35,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
166,252,21,7,3160,4,3,41,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
167,254,24,7,3512,2,3,38,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,1
168,255,18,4,1530,3,2,32,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
169,257,6,4,860,1,4,39,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1
170,258,21,7,3652,2,3,27,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
171,259,9,7,2753,3,4,35,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1
172,260,15,4,1271,3,4,39,1,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0
173,261,30,7,8386,2,2,49,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
174,262,48,1,4308,3,4,24,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
175,264,36,1,2337,4,4,36,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
176,265,48,7,7685,2,4,37,1,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0
177,266,45,1,4746,4,2,25,1,2,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
178,268,24,1,2303,4,1,45,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
179,269,36,7,9271,2,1,24,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
180,270,30,4,1715,4,1,26,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
181,271,24,4,7393,1,4,43,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
182,273,48,4,7119,3,4,53,2,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
183,275,36,7,2273,3,1,32,2,2,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,1
184,276,12,4,2028,4,2,30,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
185,278,45,0,4576,3,4,27,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
186,279,24,4,1381,4,2,35,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0
187,280,20,4,2629,2,3,29,1,2,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1
188,282,12,4,1884,4,4,39,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,1
189,283,6,1,683,2,1,29,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1
190,284,24,1,4736,2,4,25,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0
191,285,18,1,6458,2,4,39,2,2,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
192,287,36,1,4795,4,1,30,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1
193,288,18,4,2864,2,1,34,2,1,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,1,0
194,289,12,4,1657,2,2,27,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1
195,290,6,0,14555,1,2,23,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0
196,291,18,7,1950,4,1,34,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
197,292,48,4,12204,2,2,48,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1
198,293,15,4,2631,3,2,25,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1
199,296,48,7,6999,1,1,34,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0
200,298,60,7,14027,4,2,27,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0
201,299,36,7,5742,2,2,31,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
202,300,36,4,7432,2,2,54,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1
203,302,21,7,1591,4,3,34,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1
204,303,8,7,760,4,2,44,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
205,304,36,4,3804,4,1,42,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0
206,305,42,7,4370,3,2,26,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
207,308,60,7,6836,3,4,63,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
208,309,24,1,1024,4,4,48,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
209,311,36,4,4686,2,2,32,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1
210,314,24,4,1413,4,2,28,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
211,316,30,4,1867,4,4,58,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
212,318,24,4,4712,4,2,37,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,1
213,319,24,7,2284,4,2,28,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
